search_term_to_note_groups_id,search_term,admission note,communication encounter (phone and my health note),discharge summary,ecg impression,emergency department note,inpatient note,outpatient note,problem list
0,heart failure with reduced ejection fraction,1,0,1,1,1,1,1,1
1,hfref,1,0,1,1,1,1,1,1
2,heart failure with preserved ejection fraction,1,0,1,1,1,1,1,1
3,hfpef,1,0,1,1,1,1,1,1
4,hyponatremia,1,1,1,0,1,1,1,1
5,low sodium,1,1,1,0,1,1,1,1
6,low na,1,1,1,0,1,1,1,1
7,hypokalemia,1,1,1,0,1,1,1,1
8,lower k,1,1,1,0,1,1,1,1
9,hypo k,1,1,1,0,1,1,1,1
10,low k,1,1,1,0,1,1,1,1
11,hyperkalemia,1,1,1,0,1,1,1,1
12,hyper k,1,1,1,0,1,1,1,1
13,hyperuricemia,1,1,1,0,1,1,1,1
14,ua high,1,1,1,0,1,1,1,1
15,hyper ua,1,1,1,0,1,1,1,1
16,uric acid elevated,1,1,1,0,1,1,1,1
17,hypercalcemia,1,1,1,0,1,1,1,1
18,hyper ca,1,1,1,0,1,1,1,1
19,high ca,1,1,1,0,1,1,1,1
20,high calcium,1,1,1,0,1,1,1,1
21,gout,1,0,1,0,0,1,1,1
22,gouty flare,1,0,1,0,0,1,1,1
23,impotence,1,1,1,0,0,1,1,1
24,ed,1,1,1,0,0,1,1,1
25,erectile disfunction,1,1,1,0,0,1,1,1
26,dry cough,1,1,1,0,0,1,1,1
27,nonproductive cough,1,1,1,0,0,1,1,1
28,angioedema,1,1,1,0,0,1,1,1
29,lip swelling,1,1,1,0,0,1,1,1
30,tongue swelling,1,1,1,0,0,1,1,1
31,face swelling,1,1,1,0,0,1,1,1
32,pregnancy,1,1,1,0,0,1,1,1
33,positive hgc,1,1,1,0,0,1,1,1
34,pregnant,1,1,1,0,0,1,1,1
35,flushing,1,1,1,0,1,1,1,1
36,facial erythema,1,1,1,0,1,1,1,1
37,gingival hypertrophy,1,1,1,0,0,1,1,1
38,gum swelling,1,1,1,0,0,1,1,1
39,tachycardia,1,1,1,1,1,1,1,1
40,increased heart rate,1,1,1,1,1,1,1,1
41,inc hr,1,1,1,1,1,1,1,1
42,elevated hr,1,1,1,1,1,1,1,1
43,bradycardia,1,1,1,1,1,1,1,1
44,low hr,1,1,1,1,1,1,1,1
45,decreased heart rate,1,1,1,1,1,1,1,1
46,headache,1,1,1,0,1,1,1,1
47,h/a,1,1,1,0,1,1,1,1
48,ha,1,1,1,0,1,1,1,1
49,constipation,1,1,1,0,1,1,1,1
50,parasomnia,1,1,1,0,1,1,1,1
51,vivid dreams,1,1,1,0,1,1,1,1
52,nightmare,1,1,1,0,1,1,1,1
53,insomnia,1,1,1,0,0,1,1,1
54,poor sleep,1,1,1,0,0,1,1,1
55,hallucinations,1,1,1,0,0,1,1,1
56,fatigue,1,1,1,0,0,1,1,1
57,tired,1,1,1,0,0,1,1,1
58,dizziness,1,1,1,0,1,1,1,1
59,light headedness,1,1,1,0,1,1,1,1
60,nausea,1,1,1,0,1,1,1,1
61,vomiting,1,1,1,0,1,1,1,1
62,n/v,1,1,1,0,1,1,1,1
63,weight gain,1,1,1,0,0,1,1,1
64,increased weight,1,1,1,0,0,1,1,1
65,inc. wt.,1,1,1,0,0,1,1,1
66,shortness of breath,1,1,1,0,1,1,1,1
67,sob,1,1,1,0,1,1,1,1
68,doe,1,1,1,0,1,1,1,1
69,dyspnea on exertion,1,1,1,0,1,1,1,1
70,sick sinus syndrome,1,1,1,0,1,1,1,1
71,decreased libido,1,1,1,0,0,1,1,1
72,dec. libido,1,1,1,0,0,1,1,1
73,sexual side effect,1,1,1,0,0,1,1,1
74,sexual se,1,1,1,0,0,1,1,1
75,gynecomastia,1,1,1,0,0,1,1,1
76,breast enlargement,1,1,1,0,0,1,1,1
77,mastodynia,1,1,1,0,0,1,1,1
78,breast pain,1,1,1,0,0,1,1,1
79,orthostatic hypotension,1,1,1,0,1,1,1,1
80,low bp,1,1,1,0,1,1,1,1
81,low blood pressure,1,1,1,0,1,1,1,1
82,syncope,1,1,1,0,1,1,1,1
83,passed out,1,1,1,0,1,1,1,1
84,falling out,1,1,1,0,1,1,1,1
85,somnolence,1,1,1,0,1,1,1,1
86,drowsiness,1,1,1,0,1,1,1,1
87,excessive sleepiness,1,1,1,0,1,1,1,1
88,dryness of the mouth,1,1,1,0,0,1,1,1
89,dry mouth,1,1,1,0,0,1,1,1
90,parkinsonian symptoms,1,1,1,0,0,1,1,1
91,parkinsonism,1,1,1,0,0,1,1,1
92,symptoms of parkinson,1,1,1,0,0,1,1,1
93,hyperprolactinemia,1,1,1,0,0,1,1,1
94,increased prolactin,1,1,1,0,0,1,1,1
95,hepatotoxicity,1,1,1,0,1,1,1,1
96,liver toxicity,1,1,1,0,1,1,1,1
97,increased lfts,1,1,1,0,1,1,1,1
98,increased liver function tests,1,1,1,0,1,1,1,1
99,lupus-like syndrome,1,1,1,0,0,1,1,1
100,positive ana,1,1,1,0,0,1,1,1
101,lupus symptom,1,1,1,0,0,1,1,1
102,lupus sx,1,1,1,0,0,1,1,1
103,hirsutism,1,1,1,0,0,1,1,1
104,excessive facial hair,1,1,1,0,0,1,1,1
105,urinary urgency,1,1,1,0,0,1,1,1
106,urgency,1,1,1,0,0,1,1,1
107,medication adherence,1,1,1,0,0,1,1,1
108,weight reduction,1,1,1,0,0,1,1,1
109,weight loss,1,1,1,0,0,1,1,1
110,increase in exercise,1,1,1,0,0,1,1,1
111,physical activity,1,1,1,0,0,1,1,1
112,low salt  intake,1,1,1,0,0,1,1,1
113,low sodium,1,1,1,0,0,1,1,1
114,low alcohol intake,1,1,1,0,0,1,1,1
115,ascvd score,1,1,1,0,0,1,1,1
